sku,supplier_id,moq,case_pack
OW-1000,SUP-001,24,6
OW-1001,SUP-002,12,6
OW-1002,SUP-001,12,6
OW-1003,SUP-001,12,6
OW-1004,SUP-001,12,6
OW-1005,SUP-002,36,12
OW-1006,SUP-001,36,6
OW-1007,SUP-001,12,12
OW-1008,SUP-002,12,6
OW-1009,SUP-002,24,12
AC-1010,SUP-003,12,6
AC-1011,SUP-003,36,6
AC-1012,SUP-003,12,12
AC-1013,SUP-003,12,6
AC-1014,SUP-003,12,6
AC-1015,SUP-003,36,6
AC-1016,SUP-003,24,12
AC-1017,SUP-003,24,6
AC-1018,SUP-003,12,12
AC-1019,SUP-003,24,12
FW-1020,SUP-004,24,12
FW-1021,SUP-004,36,6
FW-1022,SUP-004,12,12
FW-1023,SUP-004,12,6
FW-1024,SUP-004,36,12
FW-1025,SUP-004,36,12
FW-1026,SUP-004,24,6
FW-1027,SUP-004,24,6
FW-1028,SUP-004,24,12
FW-1029,SUP-004,36,6
BS-1030,SUP-002,12,6
BS-1031,SUP-005,12,12
BS-1032,SUP-005,36,6
BS-1033,SUP-002,12,12
BS-1034,SUP-002,24,12
BS-1035,SUP-005,12,12
BS-1036,SUP-005,36,12
BS-1037,SUP-005,24,12
BS-1038,SUP-002,24,6
BS-1039,SUP-005,12,12
